experiment_num,model,short_name,score,training_time_sec,status,params
280,random_forest,rf_d15_mf01_n1500,0.21387,85.26,success,"{'max_depth': 15, 'max_features': 0.1, 'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
279,random_forest,rf_d15_mf01_n1250,0.2134,74.74,success,"{'max_depth': 15, 'max_features': 0.1, 'n_estimators': 1250, 'min_samples_split': 2, 'min_samples_leaf': 1}"
277,random_forest,rf_d15_mf01_n750,0.21273,47.26,success,"{'max_depth': 15, 'max_features': 0.1, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1}"
278,random_forest,rf_d15_mf01_n1000,0.21261,60.22,success,"{'max_depth': 15, 'max_features': 0.1, 'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1}"
276,random_forest,rf_d15_mf01_n500,0.21241,35.04,success,"{'max_depth': 15, 'max_features': 0.1, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
304,random_forest,rf_d20_mf01_n1250,0.21043,84.89,success,"{'max_depth': 20, 'max_features': 0.1, 'n_estimators': 1250, 'min_samples_split': 2, 'min_samples_leaf': 1}"
302,random_forest,rf_d20_mf01_n750,0.21036,54.47,success,"{'max_depth': 20, 'max_features': 0.1, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1}"
282,random_forest,rf_d15_mf02_n750,0.21024,78.53,success,"{'max_depth': 15, 'max_features': 0.2, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1}"
305,random_forest,rf_d20_mf01_n1500,0.21024,104.58,success,"{'max_depth': 20, 'max_features': 0.1, 'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
303,random_forest,rf_d20_mf01_n1000,0.21016,71.37,success,"{'max_depth': 20, 'max_features': 0.1, 'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1}"
283,random_forest,rf_d15_mf02_n1000,0.21012,109.97,success,"{'max_depth': 15, 'max_features': 0.2, 'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1}"
281,random_forest,rf_d15_mf02_n500,0.20988,55.95,success,"{'max_depth': 15, 'max_features': 0.2, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
326,random_forest,rf_d25_mf01_n500,0.20957,47.85,success,"{'max_depth': 25, 'max_features': 0.1, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
285,random_forest,rf_d15_mf02_n1500,0.20953,150.59,success,"{'max_depth': 15, 'max_features': 0.2, 'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
284,random_forest,rf_d15_mf02_n1250,0.20945,131.94,success,"{'max_depth': 15, 'max_features': 0.2, 'n_estimators': 1250, 'min_samples_split': 2, 'min_samples_leaf': 1}"
327,random_forest,rf_d25_mf01_n750,0.20905,63.96,success,"{'max_depth': 25, 'max_features': 0.1, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1}"
287,random_forest,rf_d15_mf03_n750,0.20818,110.6,success,"{'max_depth': 15, 'max_features': 0.3, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1}"
330,random_forest,rf_d25_mf01_n1500,0.2081,116.0,success,"{'max_depth': 25, 'max_features': 0.1, 'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
328,random_forest,rf_d25_mf01_n1000,0.20794,79.8,success,"{'max_depth': 25, 'max_features': 0.1, 'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1}"
286,random_forest,rf_d15_mf03_n500,0.20787,79.28,success,"{'max_depth': 15, 'max_features': 0.3, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
288,random_forest,rf_d15_mf03_n1000,0.20783,153.33,success,"{'max_depth': 15, 'max_features': 0.3, 'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1}"
329,random_forest,rf_d25_mf01_n1250,0.20783,105.47,success,"{'max_depth': 25, 'max_features': 0.1, 'n_estimators': 1250, 'min_samples_split': 2, 'min_samples_leaf': 1}"
289,random_forest,rf_d15_mf03_n1250,0.20775,185.69,success,"{'max_depth': 15, 'max_features': 0.3, 'n_estimators': 1250, 'min_samples_split': 2, 'min_samples_leaf': 1}"
301,random_forest,rf_d20_mf01_n500,0.20704,40.48,success,"{'max_depth': 20, 'max_features': 0.1, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
353,random_forest,rf_d30_mf01_n1000,0.20664,91.23,success,"{'max_depth': 30, 'max_features': 0.1, 'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1}"
290,random_forest,rf_d15_mf03_n1500,0.20652,216.26,success,"{'max_depth': 15, 'max_features': 0.3, 'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
354,random_forest,rf_d30_mf01_n1250,0.2064,112.35,success,"{'max_depth': 30, 'max_features': 0.1, 'n_estimators': 1250, 'min_samples_split': 2, 'min_samples_leaf': 1}"
255,random_forest,rf_d10_mf01_n1500,0.20621,61.44,success,"{'max_depth': 10, 'max_features': 0.1, 'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
254,random_forest,rf_d10_mf01_n1250,0.20617,52.74,success,"{'max_depth': 10, 'max_features': 0.1, 'n_estimators': 1250, 'min_samples_split': 2, 'min_samples_leaf': 1}"
355,random_forest,rf_d30_mf01_n1500,0.20605,133.84,success,"{'max_depth': 30, 'max_features': 0.1, 'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
310,random_forest,rf_d20_mf02_n1500,0.20601,189.97,success,"{'max_depth': 20, 'max_features': 0.2, 'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
251,random_forest,rf_d10_mf01_n500,0.20593,26.5,success,"{'max_depth': 10, 'max_features': 0.1, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
252,random_forest,rf_d10_mf01_n750,0.20569,35.98,success,"{'max_depth': 10, 'max_features': 0.1, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1}"
307,random_forest,rf_d20_mf02_n750,0.20553,95.59,success,"{'max_depth': 20, 'max_features': 0.2, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1}"
306,random_forest,rf_d20_mf02_n500,0.20549,67.38,success,"{'max_depth': 20, 'max_features': 0.2, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1}"
