file,directory,year,model,short_name,score,depth,learning_rate,iterations,max_depth,max_features,n_estimators
2020.cb_d10_lr0005_n1000.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr0005_n1000,0.15798,10.0,0.005,1000.0,,,
2020.cb_d10_lr0005_n1250.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr0005_n1250,0.15798,10.0,0.005,1250.0,,,
2020.cb_d10_lr0005_n1500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr0005_n1500,0.15798,10.0,0.005,1500.0,,,
2020.cb_d10_lr0005_n500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr0005_n500,0.15798,10.0,0.005,500.0,,,
2020.cb_d10_lr0005_n750.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr0005_n750,0.15798,10.0,0.005,750.0,,,
2020.cb_d10_lr001_n1000.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr001_n1000,0.16356,10.0,0.01,1000.0,,,
2020.cb_d10_lr001_n1250.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr001_n1250,0.16356,10.0,0.01,1250.0,,,
2020.cb_d10_lr001_n1500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr001_n1500,0.16356,10.0,0.01,1500.0,,,
2020.cb_d10_lr001_n500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr001_n500,0.16356,10.0,0.01,500.0,,,
2020.cb_d10_lr001_n750.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr001_n750,0.16356,10.0,0.01,750.0,,,
2020.cb_d10_lr002_n1000.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr002_n1000,0.15213,10.0,0.02,1000.0,,,
2020.cb_d10_lr002_n1250.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr002_n1250,0.15213,10.0,0.02,1250.0,,,
2020.cb_d10_lr002_n1500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr002_n1500,0.15213,10.0,0.02,1500.0,,,
2020.cb_d10_lr002_n500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr002_n500,0.15213,10.0,0.02,500.0,,,
2020.cb_d10_lr002_n750.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr002_n750,0.15213,10.0,0.02,750.0,,,
2020.cb_d10_lr005_n1000.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr005_n1000,0.12976,10.0,0.005,1000.0,,,
2020.cb_d10_lr005_n1250.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr005_n1250,0.12976,10.0,0.005,1250.0,,,
2020.cb_d10_lr005_n1500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr005_n1500,0.12976,10.0,0.005,1500.0,,,
2020.cb_d10_lr005_n500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr005_n500,0.12976,10.0,0.005,500.0,,,
2020.cb_d10_lr005_n750.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr005_n750,0.12976,10.0,0.005,750.0,,,
2020.cb_d10_lr01_n1000.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr01_n1000,0.13779,10.0,0.01,1000.0,,,
2020.cb_d10_lr01_n1250.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr01_n1250,0.13779,10.0,0.01,1250.0,,,
2020.cb_d10_lr01_n1500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr01_n1500,0.13779,10.0,0.01,1500.0,,,
2020.cb_d10_lr01_n500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr01_n500,0.13779,10.0,0.01,500.0,,,
2020.cb_d10_lr01_n750.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d10_lr01_n750,0.13779,10.0,0.01,750.0,,,
2020.cb_d12_lr0005_n1000.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d12_lr0005_n1000,0.15119,12.0,0.005,1000.0,,,
2020.cb_d12_lr0005_n1250.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d12_lr0005_n1250,0.15119,12.0,0.005,1250.0,,,
2020.cb_d12_lr0005_n1500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d12_lr0005_n1500,0.15119,12.0,0.005,1500.0,,,
2020.cb_d12_lr0005_n500.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d12_lr0005_n500,0.15119,12.0,0.005,500.0,,,
2020.cb_d12_lr0005_n750.20260113_130827.submission.csv,grid_search_catboost,2020,catboost,cb_d12_lr0005_n750,0.15119,12.0,0.005,750.0,,,
